Atom,Functional group,Atom type,Description,Frequency,SMARTS,Comments,Structure used for verification
C,Aromatic ring,C8x,ring-CH=ring,19905,[c;R;D2],,CC1=CC=CC=C1
C,Aromatic ring,C8y,ring-C(-R)=ring,20511,[c;R;D3](C),,
C,Undefined C,C0,,8,C,,
N,Amine,N1a,R-NH2,2440,C[D1;N],,NCC(CO)=C(CCCC(=O)OCCC)CCC(C=C)CC(CCNCC)(CCN(CCO)CC)CC(CC(=O)CC)CC=CC#CCCO
N,Amine,N1b,R-NH-R,3003,C[D2;N]C,,NCC(CO)=C(CCCC(=O)OCCC)CCC(C=C)CC(CCNCC)(CCN(CCO)CC)CC(CC(=O)CC)CC=CC#CCCO
N,Amine,N1c,R-N(-R)2,374,C[D3;N](C)C,,NCC(CO)=C(CCCC(=O)OCCC)CCC(C=C)CC(CCNCC)(CCN(CCO)CC)CC(CC(=O)CC)CC=CC#CCCO
N,Amine,N1d,R-N(-R)3+,105,C[D4;N](C)(C)C,,C[N+](C)(C)CC(=O)O
N,Cyclic amine,N1x,ring-NH-ring,806,[R;C][R;D2;N][R;C],,
N,Cyclic amine,N1y,ring-N(-R)-ring,1464,[R;C][R;D3;N](C)[R;C],,C1COC[N+]1(CCC)
N,Imine,N2a,R=N-H,230,C=[D1;N],,NCC(CO)=C(CCCC(=O)OCCC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CCO)CC(=N))CC(CC(=O)CC)CC=CC#CCCO
N,Imine,N2b,R=N-R,163,C=[D2;N]C,,NCC(CO)=C(CCCC(=O)OCCC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CCO)CC(=NC))CC(CC(=O)CC)CC=CC#CCCO
N,Cyclic imine,N2x,ring-N=ring,357,[C;R]=[D2;N][C;R],,C1COC=N1
N,Cyclic imine,N2y,ring-N(-R)+=ring,14,[R;C]=[D3;N](C)[R;C],,C1COC=[N+]1(CCC)
N,Cyan,N3a,R#N,119,C#[D1;N],,NCC(CO)=C(CCCC(=O)OCCC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CCO)CC(#N))CC(CC(=O)CC)CC=CC#CCCO
N,Aromatic ring,N4x,ring-NH-ring,785,c[D2;n]c,,N1C=CC=C1
N,Aromatic ring,N4y,ring-N(-R)-ring,840,c[D3;n](C)c,,N1(CCCO)C=CC=C1
N,Aromatic ring,N5x,ring-N=ring,2131,c[D2;n]c,use pyridine or oxazole,C1=COC=N1
N,Aromatic ring,N5y,ring-N(-R)+=ring,59,c[D3;n](C)c,,C1=COC=[N+]1(CCC)
N,Undefined N,N0,,194,N,,
O,Hydroxy,O1a,R-OH,18369,C[D1;O],,NCC(CO)=C(CCCC(=O)OCCC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CCO)CC(#N))CC(CC(=O)CC)CC=CC#CCCO
O,Hydroxy,O1b,N-OH,198,N[D1;O],,NCC(CO)=C(CCCC(=O)OCCC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CC(CCCNO)(CCS)(CCP(O)(O)(O)(O)))CC(#N))CC(CC(=O)CC)CC=CC#CCCO
O,Hydroxy,O1c,P-OH,3111,P[D1;O],,NCC(CO)=C(CCCC(=O)OCCC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CC(CCCPO)(CCS)(CCP(O)(O)(O)(O)))CC(#N))CC(CC(=O)CC)CC=CC#CCCO
O,Hydroxy,O1d,S-OH,332,S[D1;O],,NCC(CO)=C(CCCC(=O)OCCC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CC(CCCSO)(CCS)(CCP(O)(O)(O)(O)))CC(#N))CC(CC(=O)CC)CC=CC#CCCO
O,Ether,O2a,R-O-R,4199,C[D2;O]C,,NCC(CO)=C(CCCC(=O)OCCC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CC(CCCSO)(CCS)(CCP(O)(O)(O)(O)))CC(#N))CC(CC(=O)CC)CC=CC#CCCO
O,Ether,O2b,P-O-R,2481,P[D2;O]C,,NCC(CO)=C(CCCC(=O)OCCC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CC(CCCPOCC)(CCS)(CCP(O)(O)(O)(O)))CC(#N))CC(CC(=O)CC)CC=CC#CCCO
O,Ether,O2c,P-O-P,502,P[D2;O]P,,NCC(CO)=C(CCCC(=O)OCCC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CC(CCCPOP)(CCS)(CCP(O)(O)(O)(O)))CC(#N))CC(CC(=O)CC)CC=CC#CCCO
O,Ether,O2x,ring-O-ring,5853,[R;C][R;D2;O][R;C],,C1COCC1
O,Oxo,O3a,N=O,134,N(=O),,NCC(CO)=C(CCCC(=O)OCCC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CC(CCCN=O)(CCS)(CCP(O)(O)(O)(O)))CC(#N))CC(CC(=O)CC)CC=CC#CCCO
O,Oxo,O3b,P=O,2248,P(=O),,NCC(CO)=C(CCCC(=O)OCCC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CC(CCCP=O)(CCS)(CCP(O)(O)(O)(O)))CC(#N))CC(CC(=O)CC)CC=CC#CCCO
O,Oxo,O3c,S=O,941,S(=O),,NCC(CO)=C(CCCC(=O)OCCC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CC(CCCS=O)(CCS)(CCP(O)(O)(O)(O)))CC(#N))CC(CC(=O)CC)CC=CC#CCCO
O,Aldehyde,O4a,R-CH=O,350,O=[D2;C],,NCC(CO)=C(CO)CCC(C=C)CC(C)(C)CC(CC=O)CC=CC#CCCO
O,Ketone,O5a,R-C(=O)-R,3595,C(=O)(C)C,,NCC(CO)=C(CO)CCC(C=C)CC(C)(C)CC(CC(=O)CC)CC=CC#CCCO
O,Ketone,O5x,ring-C(=O)-ring,2862,[R;C][R;D3;C](=O)[R;C],,C1CCCCCCOCC(=O)1
O,Carboxylic acid,O6a,R-C(=0)-OH,6384,CC(=O)[D1;O],,NCC(CO)=C(CCCC(=O)O)CCC(C=C)CC(C)(C)CC(CC(=O)CC)CC=CC#CCCO
O,Ester,O7a,R-C(=O)-O-R,3382,CC(=O)[D2;O]C,,NCC(CO)=C(CCCC(=O)OCCC)CCC(C=C)CC(C)(C)CC(CC(=O)CC)CC=CC#CCCO
O,Ester,O7x,ring-C(=O)-O-ring,1738,[R;C][R;C](=O)[R;O],,C1CCC2C(C1)C(C(C(=O)O2)CC3C(C4CCCCC4OC3=O)O)O
O,Ester,O7x,ring-C(=O)-O-ring,1738,c[R;c](=O)o,I made this one,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O
O,Undefined O,O0,,127,O,,
S,Thiol,S1a,R-SH,100,C[D1;S],,NCC(C=O)=C(CCCC(=O)OCCSSC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CC(CCCS=O)(CCS)(CCP(O)(O)(O)(O)))CC(#N))CC(CC(=O)CC)CC=CC#CCCO
S,Thioether,S2a,R-S-R,420,C[D2;S]C,,NCC(C=O)=C(CCCC(=O)OCCSC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CC(CCCS=O)(CCS)(CCP(O)(O)(O)(O)))CC(#N))CC(CC(=O)CC)CC=CC#CCCO
S,Thioether,S2x,ring-S-ring,261,[R;C;D2][R;D2;S][R;C;D2],,C1CCCSCCCOCC(=O)1
S,Disulfide,S3a,R-S-S-R,45,C[D2;S][D2;S]C,,NCC(C=O)=C(CCCC(=O)OCCSSC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CC(CCCS=O)(CCS)(CCP(O)(O)(O)(O)))CC(#N))CC(CC(=O)CC)CC=CC#CCCO
S,Disulfide,S3x,ring-S-S-ring,48,[R;C;D2][R;D2;S][R;D2;S][R;C;D2],,C1CCCSSCCCOCC(=O)1
S,Sulfate,S4a,R-SO3,267,S(O)(O)(O),,NCC(C=O)=C(CCCC(=O)OCCSSC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CC(CCCS=O)(CCS)(CCS(O)(O)(O)))CC(#N))CC(CC(=O)CC)CC=CC#CCCO
S,Undefined S,S0,,223,S,,
P,Attatched to other elements,P1a,P-R,112,CP,,NCC(C=O)=C(CCCC(=O)OCCSSC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CC(CCCS=O)(CCS)(CCP(O)(O)(O)(O)))CC(#N))CC(CC(=O)CC)CC=CC#CCCO
P,Attatched to oxygen,P1b,P-O,2158,PO,,NCC(C=O)=C(CCCC(=O)OCCSSC)CCC(C=C)CC(CCNCC(=O)O)(CCN(CC(CCCS=O)(CCS)(CCP(O)(O)(O)(O)))CC(#N))CC(CC(=O)CC)CC=CC#CCCO
Other,Halogens,X,"F, Cl, Br, I",1419,"[F,Cl,Br,I]",,
Other,Others,Z,,261,*,,
